Episode:   1/300 | Episode reward:   -62.64 | Episode steps:  100 | Average reward:   -62.64 | Step Count:  100 | Episode Q0:    -0.06
Episode:   2/300 | Episode reward:   -69.06 | Episode steps:  100 | Average reward:   -65.85 | Step Count:  200 | Episode Q0:    -0.06
Episode:   3/300 | Episode reward:  -316.48 | Episode steps:  100 | Average reward:  -149.39 | Step Count:  300 | Episode Q0:    -0.06
Episode:   4/300 | Episode reward:  -262.93 | Episode steps:  100 | Average reward:  -177.78 | Step Count:  400 | Episode Q0:    -0.06
Episode:   5/300 | Episode reward:  -733.35 | Episode steps:  100 | Average reward:  -288.89 | Step Count:  500 | Episode Q0:    -0.06
Episode:   6/300 | Episode reward:  -286.60 | Episode steps:  100 | Average reward:  -288.51 | Step Count:  600 | Episode Q0:    -0.06
Episode:   7/300 | Episode reward:    27.81 | Episode steps:  100 | Average reward:  -243.32 | Step Count:  700 | Episode Q0:    -0.06
Episode:   8/300 | Episode reward:  -244.17 | Episode steps:  100 | Average reward:  -243.43 | Step Count:  800 | Episode Q0:    -0.06
Episode:   9/300 | Episode reward:  -212.43 | Episode steps:  100 | Average reward:  -239.98 | Step Count:  900 | Episode Q0:    -0.06
Episode:  10/300 | Episode reward:  -330.75 | Episode steps:  100 | Average reward:  -249.06 | Step Count: 1000 | Episode Q0:    -0.06
Episode:  11/300 | Episode reward:   116.86 | Episode steps:  100 | Average reward:  -215.79 | Step Count: 1100 | Episode Q0:    -0.06
Episode:  12/300 | Episode reward:  -653.41 | Episode steps:  100 | Average reward:  -252.26 | Step Count: 1200 | Episode Q0:    -0.06
Episode:  13/300 | Episode reward:  -589.58 | Episode steps:  100 | Average reward:  -278.21 | Step Count: 1300 | Episode Q0:    -0.06
Episode:  14/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -1217.10 | Step Count: 1400 | Episode Q0:  -127.45
Episode:  15/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -2030.80 | Step Count: 1500 | Episode Q0:  -127.45
Episode:  16/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -2742.79 | Step Count: 1600 | Episode Q0:  -127.45
Episode:  17/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -3371.01 | Step Count: 1700 | Episode Q0:  -127.45
Episode:  18/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -3929.44 | Step Count: 1800 | Episode Q0:  -127.45
Episode:  19/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -4429.08 | Step Count: 1900 | Episode Q0:  -127.45
Episode:  20/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -4878.76 | Step Count: 2000 | Episode Q0:  -127.45
Episode:  21/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -5546.76 | Step Count: 2100 | Episode Q0:  -127.45
Episode:  22/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -6214.43 | Step Count: 2200 | Episode Q0:  -127.45
Episode:  23/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -6869.74 | Step Count: 2300 | Episode Q0:  -127.45
Episode:  24/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -7527.73 | Step Count: 2400 | Episode Q0:  -127.45
Episode:  25/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -8162.19 | Step Count: 2500 | Episode Q0:  -127.45
Episode:  26/300 | Episode reward: -13422.63 | Episode steps:  100 | Average reward: -8818.99 | Step Count: 2600 | Episode Q0:  -127.45
Episode:  27/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -8836.72 | Step Count: 2700 | Episode Q0:  -736.76
Episode:  28/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -8840.86 | Step Count: 2800 | Episode Q0:  -736.76
Episode:  29/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -8846.58 | Step Count: 2900 | Episode Q0:  -736.76
Episode:  30/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -8846.38 | Step Count: 3000 | Episode Q0:  -736.76
Episode:  31/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -8868.57 | Step Count: 3100 | Episode Q0:  -736.76
Episode:  32/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -8852.24 | Step Count: 3200 | Episode Q0:  -736.76
Episode:  33/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -8839.10 | Step Count: 3300 | Episode Q0:  -736.76
Episode:  34/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -8184.31 | Step Count: 3400 | Episode Q0:  -736.76
Episode:  35/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -7529.52 | Step Count: 3500 | Episode Q0:  -736.76
Episode:  36/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -6874.73 | Step Count: 3600 | Episode Q0:  -736.76
Episode:  37/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -6219.94 | Step Count: 3700 | Episode Q0:  -736.76
Episode:  38/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -5565.15 | Step Count: 3800 | Episode Q0:  -736.76
Episode:  39/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -4910.36 | Step Count: 3900 | Episode Q0:  -736.76
Episode:  40/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -4255.57 | Step Count: 4000 | Episode Q0:  -663.84
Episode:  41/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -3600.78 | Step Count: 4100 | Episode Q0:  -663.84
Episode:  42/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -2945.99 | Step Count: 4200 | Episode Q0:  -663.84
Episode:  43/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -2291.20 | Step Count: 4300 | Episode Q0:  -663.84
Episode:  44/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward: -1636.41 | Step Count: 4400 | Episode Q0:  -663.84
Episode:  45/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -981.62 | Step Count: 4500 | Episode Q0:  -663.84
Episode:  46/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 4600 | Episode Q0:  -663.84
Episode:  47/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 4700 | Episode Q0:  -663.84
Episode:  48/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 4800 | Episode Q0:  -663.84
Episode:  49/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 4900 | Episode Q0:  -663.84
Episode:  50/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 5000 | Episode Q0:  -663.84
Episode:  51/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 5100 | Episode Q0:  -663.84
Episode:  52/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 5200 | Episode Q0:  -663.84
Episode:  53/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 5300 | Episode Q0:  -963.57
Episode:  54/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 5400 | Episode Q0:  -963.57
Episode:  55/300 | Episode reward:  -326.83 | Episode steps:  100 | Average reward:  -326.83 | Step Count: 5500 | Episode Q0:  -963.57
